"filename", "language", "JSON", "TypeScript", "SCSS", "CSS", "HTML", "SVG", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\authorization\authorization.page.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 8, 3, 110
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\authorization\authorization.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\authorization\authorization.page.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\groups\groups-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\groups\groups.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\groups\groups.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\groups\groups.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\groups\groups.page.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs.module.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs.page.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs.page.spec.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\logs\logs.page.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\permissions\permissions-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\permissions\permissions.module.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\permissions\permissions.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\permissions\permissions.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\permissions\permissions.page.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\roles\roles-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\roles\roles.module.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\roles\roles.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\roles\roles.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\roles\roles.page.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\system-routing.module.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\system.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\system.page.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\system.page.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\system.page.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\users\users-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\users\users.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\users\users.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\users\users.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\users\users.page.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pipes\permission.pipe.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pipes\pipes.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\services\app.service.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 3, 12, 128
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\services\authz.service.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 5, 14, 136
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\services\language.service.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\services\menu.service.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 5, 87
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\services\user.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\i18n\ar.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\i18n\en.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\logos\logo-black.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\logos\logo-main.svg", "SVG", 0, 0, 0, 0, 0, 180, 0, 0, 0, 180
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\logos\logo-white.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\assets\shapes.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\environments\environment.prod.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\environments\environment.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 11, 3, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\global.scss", "SCSS", 0, 0, 194, 0, 0, 0, 0, 56, 19, 269
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\index.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 1, 7, 29
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\polyfills.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 55, 10, 67
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\test.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 4, 21
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\theme\tailwind\base.css", "CSS", 0, 0, 0, 244, 0, 0, 0, 205, 95, 544
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\theme\tailwind\components.css", "CSS", 0, 0, 0, 178, 0, 0, 0, 0, 36, 214
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\theme\tailwind\utilities.css", "CSS", 0, 0, 0, 169241, 0, 0, 0, 0, 49308, 218549
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\theme\variables.scss", "SCSS", 0, 0, 163, 0, 0, 0, 0, 11, 30, 204
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\zone-flags.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Admin\Desktop\github\LawyerERP-app\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 79, 4, 0, 83
"c:\Users\Admin\Desktop\github\LawyerERP-app\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Admin\Desktop\github\LawyerERP-app\tsconfig.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\tslint.json", "JSON", 149, 0, 0, 0, 0, 0, 0, 0, 0, 149
"Total", "-", 16780, 2870, 475, 169666, 1119, 183, 156, 590, 50072, 241911
